id sender,id receiver,name sender,name receiver,wire value,country sender,country receiver,trxn_id
CUST52355648,CUST33974565,DR.DOROTHÉE GRENIER,KRISTIN CANTRELL,4884.0,CA,CA,GZRH32118767
CUST47595529,CUST22023395,JENNIFER WILSON,DR.LORI FIGUEROA,1433.0,CA,CA,KXHK20557430
CUST85302937,EXTERNAL942233,JENNIFER BOLTON,ASHLEY HARRELL,2533.0,CA,CA,CZMO37959511
CUST74148588,CUST42857382,MELISSA GONZALES,JENNIFER PEREZ,2165.0,CA,CA,LOAI85915905
CUST84716010,EXTERNAL216247,RYAN NICHOLSON,MR. JOSEPH CABRERA DVM,9417.0,CA,CA,TZLM77262844
CUST18451375,EXTERNAL249816,TAMMY HOWELL,LISA LARA,8162.0,CA,CA,YTKF57560674
CUST57029243,CUST59441760,TIMOTHY SIMMONS,DAVID CAMPBELL,7402.0,CA,CA,PXVT83604978
EXTERNAL240447,CUST77273540,LAURIE GIGUÈRE,NANCY BERRY,20767.5,CA,CA,OUBQ54315652
EXTERNAL585861,CUST57178526,ALISON BARBER,ALEXANDRA LAROCQUE,1243.0,US,CA,HVJO46769397
EXTERNAL776635,CUST36300275,JEREMY JOHNSON,SAANVI AGGARWAL,1704.0,CA,CA,LEKR45156341
EXTERNAL999653,CUST36567596,SHA YANG,ADAM RAMIREZ,8873.5,CN,CA,JIYL38144113
CUST77870413,CUST32518478,JENNIFER EDWARDS,SARAH BECK,2839.0,CA,CA,VGNN65380088
CUST27904640,CUST58538842,SEAN KELLER,ANNA ARKAD'EVNA SHAROVA,1968.0,CA,CA,FUIT28433341
CUST61746926,CUST77505183,ERIC PHAM,DR.COURTNEY BAKER,1356.0,CA,CA,ACZR89648375
EXTERNAL381584,CUST57170647,DR.JOSHUA HALL,DR.KAVYA DATTA,1036.0,CA,CA,RRNE17993532
CUST45166555,EXTERNAL886078,CONNIE GARZA,PAULETTE PICARD,6020.0,CA,CA,WNNZ59729016
CUST79430131,EXTERNAL686986,MARTINE MOREAU,XIANG YING,4683.0,CA,CN,CPOZ52784387
CUST15889724,EXTERNAL866497,MASON WILLIAMS,PAUL LAMONTAGNE,1284.0,CA,CA,VQPO24579927
