,id sender,id receiver,name sender,name receiver,emt message,emt value,trxn_id,emt message emb,animalsim
377835,EXTERNAL580932,CUST20762626,DIANE MARQUEZ,LAURA MARTINEZ,Pet,2,YKTI30361343,,0.756977916
9265,CUST38763343,CUST46868037,JEFFREY CAIN,CAROLYN HARRISON,Pet,2,CKEL28491510,,0.756977916
283392,EXTERNAL774470,CUST51512952,DR.MICHAEL WILSON,MARCUS SCOTT,Pet,2,YEIT77095306,,0.756977916
462075,EXTERNAL529972,CUST19764961,BRIAN POTTS,TARA BAILEY,Pet,14,REJP66281156,,0.756977916
417177,CUST65667202,EXTERNAL344314,MELANIE SANDOVAL,CAITLYN MORRIS,Pet,8.5,BMLM85830107,,0.756977916
502234,CUST48660377,CUST17141355,ZHANG NA,MATTHEW MCGEE,pet stuff,59.5,KJQV40332026,,0.6109341382980347
235183,CUST22386590,CUST45211744,SARAH MCCARTY,ALLEN GRAHAM,Pet stuff,32,YREV75050746,,0.6109341382980347
237574,CUST12711395,EXTERNAL500565,MRS. CRYSTAL STEWART MD,STEVE ARCHER,Pet food;,34.5,AOMM49757198,,0.6011601686477661
505156,CUST44717294,CUST29216916,PATRICK ALLISON,CHRISTY BROWN,Hot dog,2,VTBU91265121,,0.5935612916946411
324696,CUST86254398,CUST10223191,CÉLINA ST-ONGE,DR.JEREMY HURLEY,Hot dog,4,EUEG75839806,,0.5935612916946411
344536,EXTERNAL604134,CUST84848923,TRISTAN LEMIEUX,ASHLEY GARCIA,Dog vet,249,LZRI67959609,,0.5821784138679504
166181,CUST65375267,EXTERNAL917637,JOSHUA THOMAS,KLAVDIJA FELIKSOVNA KONONOVA,Dog vet,150,DPLB12838727,,0.5821783542633057
50872,CUST95764019,CUST73064620,NATHAN GOODMAN,SETH SMITH,Pet food,22,PZTD93021285,,0.5754621624946594
53159,CUST60080732,CUST58219673,DARREN THOMPSON,ANGELA RODGERS,pet food,6.5,CTUC39288514,,0.5754621624946594
435761,CUST62980504,CUST80957433,NATHAN BEAUDOIN-LAPLANTE,ZHAO KUN,Pet food,30,INHA67012768,,0.5754621624946594
